月份,城市名称,城市编码,门店名称,门店编码,开业日期,主营业务收入,净利润
2025-12,上海市,021,上海荟聚店,102340,2025-11-28,24400.50,-38922.49
2025-12,北京市,010,中关村领展,102318,2025-08-03,51079.00,-21540.49
2025-12,北京市,010,五棵松万达店,102319,2025-08-12,31054.30,-42099.05
2025-12,北京市,010,北京北辰荟,102343,2025-12-29,,-5311.94
2025-12,北京市,010,北京国贸商城店,102334,2025-10-28,58927.82,-42036.44
2025-12,北京市,010,北京银座和谐广场店,102338,2025-11-20,18267.99,-31459.96
2025-12,北京市,010,北京龙湖亦庄天街店,102335,2025-12-04,8644.60,-63159.27
2025-12,北京市,010,悠唐购物中心,102315,2025-06-24,38883.00,-28325.03
2025-12,北京市,010,西铁营万达,102306,2025-07-08,27646.00,-28515.85
2025-12,北京市,010,通州万象汇店,102295,2025-06-17,24993.00,-68135.71
2025-12,北京市,010,金地中心,102344,2026-01-11,,0.00
2025-12,南京市,025,华采天地店,102331,2025-09-30,20156.80,-23068.47
2025-12,广州市,020,IFC国金天地,102314,2025-06-15,35581.00,-24242.72
2025-12,成都市,028,LACADIERE花园城,102313,2025-09-09,26081.00,453.88
2025-12,成都市,028,in99银泰中心店,102296,2025-05-07,89266.46,-10884.36
2025-12,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,17282.31,-17317.11
2025-12,成都市,028,双流万达店,102321,2025-07-31,23224.26,-13384.80
2025-12,成都市,028,城南优品道店,102329,2025-09-17,30808.73,-2707.13
2025-12,成都市,028,成都IFS购物中心,102320,2025-12-09,,-22391.30
2025-12,成都市,028,科华路王府井店,102063,2025-11-17,29479.00,5213.31
2025-12,成都市,028,财富又一城店,102288,2025-04-25,32647.46,-10743.86
2025-12,成都市,028,金楠天街店,102312,2025-06-17,13733.00,-15208.63
2025-12,杭州市,0571,亚奥万象天地店,102328,2025-09-26,27760.00,-17276.96
2025-12,杭州市,0571,杭州大悦城,102339,2025-10-29,16085.80,-34657.85
2025-12,杭州市,0571,杭州龙湖滨江天街,102333,2025-09-30,24244.10,-27646.82
2025-12,深圳市,0755,南山京基百纳,102307,2025-08-03,11929.00,-28772.77
2025-12,深圳市,0755,平安金融中心店,102301,2025-06-26,56350.15,-22736.52
2025-12,深圳市,0755,深业上城店,102289,2025-05-03,68535.66,-11951.17
2025-12,深圳市,0755,深圳大悦城店,102299,2025-09-06,24944.91,-34216.29
2025-12,深圳市,0755,深圳太子湾K11,102257,2025-04-28,21326.20,-28597.57
2025-12,深圳市,0755,金地威新中心店,102298,2025-08-23,24733.00,-28714.29
2025-12,绵阳市,0816,四川常知乐健康科技有限公司,01,2025-11-26,,-30398.00
2025-12,绵阳市,0816,绵阳美学中心店,102316,2025-12-09,,-2701.70
2025-12,重庆市,023,重庆光环花园城,102330,2025-09-26,13642.53,-7715.57
2025-12,重庆市,023,龙湖高新天街店,102292,2025-04-30,18077.20,-13233.47
